"ticker","cusip","isin","figi"
"A","00846UAG6","US00846UAG67","BBG0000HY389"
"A","00846UAC5","US00846UAC53","BBG0000KXND3"
"A","00846UAH4","US00846UAH41","BBG003CP4296"
"A","00846UAJ0","US00846UAJ07","BBG004PYRGY7"
"A","00846UAK7","US00846UAK79","BBG00DSXGYR7"
"AA","013817AS0","US013817AS04","BBG00002CG41"
"AA","013817AJ0","US013817AJ05","BBG00003FXZ5"
"AA","022249AU0","US022249AU09","BBG00005DJS1"
"AA","022249BA3","US022249BA36","BBG00006Q612"
"AA","013817AL5","US013817AL50","BBG0000BXTV0"
"AA","013817AK7","US013817AK77","BBG0000BZCG2"
"AA","013817AM3","US013817AM34","BBG0000C5S69"
"AA","013817AU5","US013817AU59","BBG0000CDJZ8"
"AA","013817AP6","US013817AP64","BBG0000FYVC6"
"AA","013817AQ4","US013817AQ48","BBG0000G0Y62"
"AA","013817AV3","US013817AV33","BBG001MKF1L6"
"AA","74973WAB3","US74973WAB37","BBG004FC6ZW9"
"AA","013817AW1","US013817AW16","BBG0074G3ML9"
"AA","013822AA9","US013822AA98","BBG00DW2S2M2"
"AA","013822AB7","US013822AB71","BBG00DWV3SJ2"
"AA","N02175AB8","USN02175AB83","BBG00DWVJF85"
"AA","N02175AA0","USN02175AA01","BBG00DWVJH09"
"AAAIRF","00249EAA8","US00249EAA82","BBG004X7TH46"
"AAAIRF","00249EAC4","US00249EAC49","BBG0069FJ887"
"AAAIRF","00249EAD2","US00249EAD22","BBG0069J6NV4"
"AACE","004403AF8","US004403AF81","BBG001D6LDF1"
"AACE","U00452AC3","USU00452AC36","BBG001HTWRT9"
"AAL","023654AW6","US023654AW60","BBG00000C683"
"AAL","02378JAT5","US02378JAT51","BBG00000FFL5"
"AAL","720101DA9","US720101DA97","BBG00000N903"
"AAL","720101CU6","US720101CU60","BBG00000N958"
"AAL","720101CX0","US720101CX00","BBG00000N967"
"AAL","720101CW2","US720101CW27","BBG00000N9M9"
"AAL","720101CN2","US720101CN28","BBG00000N9L0"
"AAL","720101CQ5","US720101CQ58","BBG00000N9J3"
"AAL","720101CZ5","US720101CZ57","BBG00000N9N8"
"AAL","90332UAS2","US90332UAS24","BBG000013JF5"
"AAL","023650AH7","US023650AH71","BBG000015W37"
"AAL","91154FAA7","US91154FAA75","BBG000017N08"
"AAL","02378JAA6","US02378JAA60","BBG00002BR20"
"AAL","911546WB1","US911546WB18","BBG00003DYC0"
"AAL","90332UAK9","US90332UAK97","BBG00004P6Z1"
"AAL","023650AG9","US023650AG98","BBG00005CD96"
"AAL","90332UAL7","US90332UAL70","BBG00005GCD9"
"AAL","90332UAR4","US90332UAR41","BBG00005L600"
"AAL","90332UAF0","US90332UAF03","BBG00005XLC1"
"AAL","90332UAN3","US90332UAN37","BBG00006BX00"
"AAL","90332UAA1","US90332UAA16","BBG00006JBF4"
