bond_ticker,equity_ticker,comp_name
TD,TD,Toronto Dominion Bank (The) Com
HIG,HIG,Hartford Financial Services Gro
FCX,FCX,Freeport-McMoRan, Inc. Common S
PNC,PNC,PNC Financial Services Group, I
BWP,BWP,Boardwalk Pipeline Partners LP 
FOXA,FOXA,Twenty-First Century Fox, Inc.
CVX,CVX,Chevron Corporation Common Stoc
NAVI,NAVI,Navient Corporation
PEG,PEG,Public Service Enterprise Group
TWX,TWX,Time Warner Inc. New Common Sto
EMR,EMR,Emerson Electric Company Common
C,C,Citigroup, Inc. Common Stock
COKE,COKE,Coca-Cola Bottling Co. Consolid
GIS,GIS,General Mills, Inc. Common Stoc
UNH,UNH,UnitedHealth Group Incorporated
MET,MET,MetLife, Inc. Common Stock
SRE,SRE,Sempra Energy Common Stock
JPM,JPM,JP Morgan Chase & Co. Common St
UPS,UPS,United Parcel Service, Inc. Com
EXC,EXC,Exelon Corporation Common Stock
UNP,UNP,Union Pacific Corporation Commo
VZ,VZ,Verizon Communications Inc. Com
TAS,TAS,Tasman Metals Ltd Ordinary Shar
TGT,TGT,Target Corporation Common Stock
DYN,DYN,Dynegy Inc. Common Stock
APC,APC,Anadarko Petroleum Corporation 
AIG,AIG,American International Group, I
NAV,NAV,Navistar International Corporat
GE,GE,General Electric Company Common
BOKF,BOKF,BOK Financial Corporation
EL,EL,Estee Lauder Companies, Inc. (T
VVC,VVC,Vectren Corporation Common Stoc
CZR,CZR,Caesars Entertainment Corporati
AWR,AWR,American States Water Company C
SO,SO,Southern Company (The) Common S
INTU,INTU,Intuit Inc.
UAL,UAL,United Continental Holdings
MDLZ,MDLZ,Mondelez International, Inc.
CP,CP,Canadian Pacific Railway Limite
AAL,AAL,American Airlines Group, Inc.
MMM,MMM,3M Company Common Stock
RTN,RTN,Raytheon Company Common Stock
SRT,SRT,StarTek, Inc. Common Stock
IP,IP,International Paper Company Com
HLG,HLG,Hailiang Education Group Inc.
LUV,LUV,Southwest Airlines Company Comm
PRU,PRU,Prudential Financial, Inc. Comm
DGX,DGX,Quest Diagnostics Incorporated 
MNI,MNI,McClatchy Company (The) Common 
XRX,XRX,Xerox Corporation Common Stock
AES,AES,The AES Corporation Common Stoc
RAD,RAD,Rite Aid Corporation Common Sto
DOW,DOW,Dow Chemical Company (The) Comm
DTV,DTV,DIRECTV
MS,MS,Morgan Stanley Common Stock
PG,PG,Procter & Gamble Company (The) 
MAS,MAS,Masco Corporation Common Stock
SIVB,SIVB,SVB Financial Group
HBAN,HBAN,Huntington Bancshares Incorpora
HSBC,HSBC,HSBC Holdings, plc. Common Stoc
UTX,UTX,United Technologies Corporation
BAC,BAC,Bank of America Corporation Com
CVS,CVS,CVS Health Corporation Common S
VIA,VIA,Viacom Inc.
EQY,EQY,Equity One, Inc. Common Stock
WPZ,WPZ,Williams Partners, L.P. Common 
DCOM,DCOM,Dime Community Bancshares, Inc.
BK,BK,Bank of New York Mellon Corpora
F,F,Ford Motor Company Common Stock
M,M,Macy's Inc Common Stock
RSG,RSG,Republic Services, Inc. Common 
CAM,CAM,Cameron International Corporati
WRB,WRB,W.R. Berkley Corporation Common
T,T,AT&T Inc.
ETP,ETP,Energy Transfer Partners, L.P. 
AMGN,AMGN,Amgen Inc.
MBI,MBI,MBIA Inc. Common Stock
VMC,VMC,Vulcan Materials Company (Holdi
PFE,PFE,Pfizer, Inc. Common Stock
AFFM,AFFM,AFFIRMATIVE INSURANC
NNI,NNI,Nelnet, Inc. Common Stock
CHCO,CHCO,City Holding Company
JBL,JBL,Jabil Circuit, Inc. Common Stoc
BNS,BNS,Bank Nova Scotia Halifax Pfd 3 
FE,FE,FirstEnergy Corporation Common 
HOV,HOV,Hovnanian Enterprises, Inc. Cla
RBS,RBS,Royal Bank of Scotland Group Pl
WMT,WMT,Wal-Mart Stores, Inc. Common St
EQR,EQR,Equity Residential Common Share
RY,RY,Royal Bank Of Canada Common Sto
AEP,AEP,American Electric Power Company
NOC,NOC,Northrop Grumman Corporation Co
XOM,XOM,Exxon Mobil Corporation Common 
AER,AER,Aercap Holdings N.V. Ordinary S
CAT,CAT,Caterpillar, Inc. Common Stock
MKL,MKL,Markel Corporation Common Stock
KO,KO,Coca-Cola Company (The) Common 
RRD,RRD,R.R. Donnelley & Sons Company C
NSC,NSC,Norfolk Southern Corporation Co
PFG,PFG,Principal Financial Group Inc C
WRK,WRK,Westrock Company Common Stock
GS,GS,Goldman Sachs Group, Inc. (The)
CMCSA,CMCSA,Comcast Corporation
MGEE,MGEE,MGE Energy Inc.
CMA,CMA,Comerica Incorporated Common St
EOANGR,EOAN,NA
ABXCN,ABX,NA
NGCTT,NGC,NA
CNOOC,CNO,NA
REGDIV,REGD,NA
BRKHEC,BRKH,NA
MFCCN,MFC,NA
VIEFP,VIE,NA
AARP,AA,NA
NORGEN,NORG,NA
LEH,L,NA
ONCRTX,ONCR,NA
ALPIPE,ALPI,NA
COMQAT,COMQ,NA
UTICON,UTIC,NA
OIBRBZ,OIBR,NA
BNSF,BN,NA
CNRCN,CNR,NA
MMCFND,MMCF,NA
LIBMUT,LIBM,NA
BCAPS,BCA,NA
NESNVX,NESN,NA
OMX,O,NA
BNP,B,NA
AUGFND,AUGF,NA
MBCR,MB,NA
BRDGML,BRDG,NA
VICFIN,VICF,NA
GRNMRN,GRNM,NA
SFHCS,SFH,NA
FRBANK,FRBA,NA
PRETSL,PRET,NA
NYSW,NY,NA
UNICHI,UNIC,NA
ADWA,AD,NA
CADE,CA,NA
CROWL,CRO,NA
TPREF,TPR,NA
TOUS,TO,NA
GWOCN,GWO,NA
AUTNOR,AUTN,NA
FTCAP,FTC,NA
CONDEC,COND,NA
TAMB,TA,NA
JACKET,JACK,NA
WCHI,WC,NA
BRASKM,BRAS,NA
DDRGC,DDR,NA
IPLAU,IPL,NA
VALEBZ,VALE,NA
CARGIL,CARG,NA
LBBW,LB,NA
PSALM,PSA,NA
CEMEX,CEM,NA
TDHC,TD,NA
ASTRO,AST,NA
MAJEST,MAJE,NA
PAYN,PA,NA
PISC,PI,NA
RCBI,RC,NA
MOBTEL,MOBT,NA
TRUKQ,TRU,NA
TRPCN,TRP,NA
HXN,H,NA
AXASA,AXA,NA
SELECT,SELE,NA
LENATU,LENA,NA
TWLQ,TW,NA
KAUP,KA,NA
ANZ,A,NA
DNBNO,DNB,NA
ACAFP,ACA,NA
TELEFO,TELE,NA
WSTP,WS,NA
NDASS,NDA,NA
NAB,N,NA
AMXLMM,AMXL,NA
TRICN,TRI,NA
TRNTEL,TRNT,NA
BACR,BA,NA
LLOYDS,LLOY,NA
CNQCN,CNQ,NA
STANLN,STAN,NA
DGELN,DGE,NA
UCGIM,UCG,NA
PARCFT,PARC,NA
PACLIF,PACL,NA
SOV,S,NA
CSQACN,CSQA,NA
ABIBB,ABI,NA
NGGLN,NGG,NA
WHITEP,WHIT,NA
MORINT,MORI,NA
PRCONS,PRCO,NA
GLENLN,GLEN,NA
DE,DE,Deere & Company Common Stock
WMB,WMB,Williams Companies, Inc. (The) 
TRV,TRV,The Travelers Companies, Inc. C
EEP,EEP,Enbridge Energy, L.P. Class A C
ETN,ETN,Eaton Corporation, PLC Ordinary
SJI,SJI,South Jersey Industries, Inc. C
EPD,EPD,Enterprise Products Partners L.
PM,PM,Philip Morris International Inc
CTL,CTL,CenturyLink, Inc. Common Stock
X,X,United States Steel Corporation
WFC,WFC,Wells Fargo & Company Common St
WGL,WGL,WGL Holdings IncCommon Stock
GNW,GNW,Genworth Financial Inc Common S
MRO,MRO,Marathon Oil Corporation Common
WFT,WFT,Weatherford International plc (
STI,STI,SunTrust Banks, Inc. Common Sto
TOL,TOL,Toll Brothers Inc. Common Stock
MNK,MNK,Mallinckrodt plc Ordinary Share
CB,CB,D/B/A Chubb Limited New Common 
FGP,FGP,Ferrellgas Partners, L.P. Commo
COP,COP,ConocoPhillips Common Stock
HAL,HAL,Halliburton Company Common Stoc
RCL,RCL,Royal Caribbean Cruises Ltd. Co
WY,WY,Weyerhaeuser Company Common Sto
KMI,KMI,Kinder Morgan, Inc. Common Stoc
PCH,PCH,Potlatch Corporation
TWC,TWC,Time Warner Cable Inc
CI,CI,Cigna Corporation Common Stock
PACW,PACW,PacWest Bancorp
AMP,AMP,Ameriprise Financial, Inc. Comm
S,S,Sprint Corporation Common Stock
DNR,DNR,Denbury Resources Inc. Common S
AET,AET,Aetna Inc. Common Stock
MTOR,MTOR,Meritor, Inc. Common Stock
DAL,DAL,Delta Air Lines, Inc. Common St
CBI,CBI,Chicago Bridge & Iron Company N
STAR,STAR,iStar Inc. Common Stock
ALL,ALL,Allstate Corporation (The) Comm
HSY,HSY,The Hershey Company Common Stoc
EIX,EIX,Edison International Common Sto
RGA,RGA,Reinsurance Group of America, I
CSX,CSX,CSX Corporation
MSI,MSI,Motorola Solutions, Inc. Common
RIG,RIG,Transocean Ltd (Switzerland) Co
APA,APA,Apache Corporation Common Stock
FTR,FTR,Frontier Communications Corpora
EFX,EFX,Equifax, Inc. Common Stock
HRC,HRC,Hill-Rom Holdings Inc Common St
EQT,EQT,EQT Corporation Common Stock
LLY,LLY,Eli Lilly and Company Common St
BDC,BDC,Belden Inc Common Stock
AXP,AXP,American Express Company Common
DIS,DIS,Walt Disney Company (The) Commo
OXY,OXY,Occidental Petroleum Corporatio
FL,FL,Foot Locker, Inc.
CAH,CAH,Cardinal Health, Inc. Common St
CBS,CBS,CBS Corporation Class B Common 
PAA,PAA,Plains All American Pipeline, L
DB,DB,Deutsche Bank AG Common Stock
CAA,CAA,CalAtlantic Group, Inc. Common 
PEP,PEP,Pepsico, Inc. Common Stock
IBM,IBM,International Business Machines
HPT,HPT,Hospitality Properties Trust
D,D,Dominion Resources, Inc. Common
VOD,VOD,Vodafone Group Plc
CAG,CAG,ConAgra Foods, Inc. Common Stoc
BHP,BHP,BHP Billiton Limited Common Sto
LMT,LMT,Lockheed Martin Corporation Com
MGM,MGM,MGM Resorts International Commo
AYI,AYI,Acuity Brands Inc (Holding Comp
SCG,SCG,SCANA Corporation Common Stock
AEE,AEE,Ameren Corporation Common Stock
NS,NS,Nustar Energy L.P.  Common Unit
MTH,MTH,Meritage Homes Corporation Comm
HPQ,HPQ,HP Inc. Common Stock
KMB,KMB,Kimberly-Clark Corporation Comm
ES,ES,Eversource Energy (D/B/A) Commo
CNP,CNP,CenterPoint Energy, Inc (Holdin
APD,APD,Air Products and Chemicals, Inc
CPB,CPB,Campbell Soup Company Common St
PPG,PPG,PPG Industries, Inc. Common Sto
UBS,UBS,UBS Group AG Registered Ordinar
RSLCF,RSLCF,RSL COMM LTD
KSU,KSU,Kansas City Southern Common Sto
SON,SON,Sonoco Products Company Common 
POR,POR,Portland General Electric Co Co
BA,BA,Boeing Company (The) Common Sto
GLW,GLW,Corning Incorporated Common Sto
IR,IR,Ingersoll-Rand plc (Ireland)
YRCW,YRCW,YRC Worldwide, Inc.
KSS,KSS,Kohl's Corporation Common Stock
STR,STR,Questar Corporation Common Stoc
DUK,DUK,Duke Energy Corporation (Holdin
THC,THC,Tenet Healthcare Corporation Co
BC,BC,Brunswick Corporation Common St
AAWW,AAWW,Atlas Air Worldwide Holdings
NWN,NWN,Northwest Natural Gas Company C
MJN,MJN,Mead Johnson Nutrition Company 
WIN,WIN,Windstream Holdings, Inc.
HIW,HIW,Highwoods Properties, Inc. Comm
ADM,ADM,Archer-Daniels-Midland Company 
CCL,CCL,Carnival Corporation Common Sto
JCP,JCP,J.C. Penney Company, Inc. Holdi
NFG,NFG,National Fuel Gas Company Commo
ESPIQ,ESPIQ,ESP RESOURCES INC COM STK USD0.
LDOS,LDOS,Leidos Holdings, Inc. Common St
FLEX,FLEX,Flex Ltd.
WEC,WEC,WEC Energy Group, Inc. Common S
BBT,BBT,BB&T Corporation Common Stock
GAS,GAS,AGL Resources, Inc.
HNT,H,NA
BEEFBZ,BEEF,NA
JTS,J,NA
LINTA,LIN,NA
TOLLRD,TOLL,NA
GATECP,GATE,NA
CSNABZ,CSNA,NA
AXOLTD,AXOL,NA
AIGSGF,AIGS,NA
WSTBAP,WSTB,NA
POSTSQ,POST,NA
PEMEX,PEM,NA
ECOPET,ECOP,NA
GP,NA,NA
JPMHQ,JPM,NA
ONEAM,ONE,NA
UHCI,UH,NA
BXBAU,BXB,NA
RDMG,RD,NA
LUKOIL,LUKO,NA
PWHSQ,PWH,NA
LR,NA,NA
SIEGR,SIE,NA
PRE,P,NA
FTSCN,FTS,NA
TENOK,TEN,NA
VIVFP,VIV,NA
UIL,U,NA
TOYOTA,TOYO,NA
NATMUT,NATM,NA
IBESM,IBE,NA
CLOVE,CLO,NA
INTNED,INTN,NA
SRENVX,SREN,NA
NIBCAP,NIBC,NA
LSPWR,LSP,NA
EKABEL,EKAB,NA
AGRIBK,AGRI,NA
CAPCAN,CAPC,NA
NEWALB,NEWA,NA
BUMIIJ,BUMI,NA
ENELIM,ENEL,NA
ROSW,RO,NA
TITIM,TIT,NA
STNFRD,STNF,NA
CBAAU,CBA,NA
GBH,G,NA
COPLLC,COPL,NA
PPHNSW,PPHN,NA
IRSAAR,IRSA,NA
SUCN,SU,NA
REVE,RE,NA
PFNET,PFN,NA
BPLN,BP,NA
MASSMU,MASS,NA
SOCGEN,SOCG,NA
PHIANA,PHIA,NA
ENRNQ,ENR,NA
PSD,P,NA
HSECN,HSE,NA
TSIXQ,TSI,NA
BMC,B,NA
MCEXPP,MCEX,NA
GR,NA,NA
THMR,TH,NA
TOY,T,NA
FBUNZ,FBU,NA
ICICI,ICI,NA
MIRPTC,MIRP,NA
SUNTOR,SUNT,NA
FARMER,FARM,NA
COLPLN,COLP,NA
SKO,S,NA
CDEL,CD,NA
FTHUAC,FTHU,NA
BCOMPS,BCOM,NA
REEDLN,REED,NA
ALINDA,ALIN,NA
USDL,US,NA
NT,NA,NA
YALUNI,YALU,NA
RESCAP,RESC,NA
FFHCN,FFH,NA
PNCACN,PNCA,NA
HEIGR,HEI,NA
BHIARM,BHIA,NA
CHEYFI,CHEY,NA
MLTN,ML,NA
BRK,B,NA
RWKSQ,RWK,NA
GT,GT,The Goodyear Tire & Rubber Comp
PCG,PCG,Pacific Gas & Electric Co. Comm
AVA,AVA,Avista Corporation Common Stock
XL,XL,XL Group Ltd.
PPL,PPL,PPL Corporation Common Stock
NBL,NBL,Noble Energy Inc. Common Stock
CL,CL,Colgate-Palmolive Company Commo
DDS,DDS,Dillard's, Inc. Common Stock
WHR,WHR,Whirlpool Corporation Common St
TMK,TMK,Torchmark Corporation Common St
BMY,BMY,Bristol-Myers Squibb Company Co
GMT,GMT,GATX Corporation
LB,LB,L Brands, Inc.
CWT,CWT,California Water Service Group 
HD,HD,Home Depot, Inc. (The) Common S
AGII,AGII,Argo Group International Holdin
ANTM,ANTM,Anthem, Inc. Common Stock
CBB,CBB,Cincinnati Bell Inc. Common Sto
SHLD,SHLD,Sears Holdings Corporation
AVY,AVY,Avery Dennison Corporation Comm
PVH,PVH,PVH Corp. Common Stock
AZN,AZN,Astrazeneca PLC Common Stock
JNJ,JNJ,Johnson & Johnson Common Stock
FDX,FDX,FedEx Corporation Common Stock
HCA,HCA,HCA Holdings, Inc. Common Stock
SXCL,SXCL,STEEL EXCEL INC.
ASH,ASH,Ashland Global Holdings Inc. Co
ALLY,ALLY,Ally Financial Inc. Common Stoc
EMN,EMN,Eastman Chemical Company Common
DRLC,DRLC,DORAL FINANCIAL CORPORATION
PNY,PNY,Piedmont Natural Gas Company, I
KR,KR,Kroger Company (The) Common Sto
EDF,EDF,Stone Harbor Emerging Markets I
MCD,MCD,McDonald's Corporation Common S
WTM,WTM,White Mountains Insurance Group
LNT,LNT,Alliant Energy Corporation Comm
BRX,BRX,Brixmor Property Group Inc. Com
LINE,LINE,Linn Energy, LLC - Common Units
VLO,VLO,Valero Energy Corporation Commo
BHI,BHI,Baker Hughes Incorporated Commo
NEE,NEE,NextEra Energy, Inc. Common Sto
BWA,BWA,BorgWarner Inc. Common Stock
USB,USB,U.S. Bancorp Common Stock
USG,USG,USG Corporation Common Stock
RF,RF,Regions Financial Corporation C
AA,AA,Alcoa Inc. Common Stock
CBT,CBT,Cabot Corporation Common Stock
UDR,UDR,UDR, Inc. Common Stock
MKC,MKC,McCormick & Company, Incorporat
USAB,USAB,USAMERIBANCORP INC
HPE,HPE,Hewlett Packard Enterprise Comp
STT,STT,State Street Corporation Common
CDNS,CDNS,Cadence Design Systems, Inc.
TKR,TKR,Timken Company (The) Common Sto
PHM,PHM,PulteGroup, Inc. Common Stock
DHR,DHR,Danaher Corporation Common Stoc
OSG,OSG,Overseas Shipholding Group, Inc
LOW,LOW,Lowe's Companies, Inc. Common S
XEL,XEL,Xcel Energy Inc. Common Stock
MRK,MRK,Merck & Company, Inc. Common St
HRS,HRS,Harris Corporation Common Stock
NPNTQ,NPNTQ,NORTHPOINT COMM GR
AZO,AZO,AutoZone, Inc. Common Stock
K,K,Kellogg Company Common Stock
GAF,GAF,SPDR S&P Middle East & Africa E
JWN,JWN,Nordstrom, Inc. Common Stock
WR,WR,Westar Energy, Inc. Common Stoc
R,R,Ryder System, Inc. Common Stock
PEGX,PEGX,PEGASUS COMPANIES COM STK USD0.
DOX,DOX,Amdocs Limited
BPL,BPL,Buckeye Partners L.P. Common St
THG,THG,Hanover Insurance Group Inc
UNM,UNM,Unum Group Common Stock
ITT,ITT,ITT Inc. Common Stock 
ROP,ROP,Roper Technologies, Inc. Common
MLM,MLM,Martin Marietta Materials, Inc.
UFS,UFS,Domtar Corporation (NEW) Common
JCI,JCI,Johnson Controls International 
WEN,WEN,Wendy's Company (The)
ATI,ATI,Allegheny Technologies Incorpor
CEGENE,CEGE,NA
NOLSP,NOL,NA
PETBRA,PETB,NA
PACBEA,PACB,NA
TRNTY,TRN,NA
SEACTR,SEAC,NA
SANTAN,SANT,NA
IFFDE,IFF,NA
ORAFP,ORA,NA
AMETIS,AMET,NA
DT,NA,NA
PTBT,PT,NA
MUTOMA,MUTO,NA
NYLIFE,NYLI,NA
MCOM,MC,NA
BFRSQ,BFR,NA
SECBEN,SECB,NA
STLNO,STL,NA
PAP,P,NA
COXENT,COXE,NA
PREPAR,PREP,NA
POHANG,POHA,NA
OHNAT,OHN,NA
AEGON,AEG,NA
CMIIND,CMII,NA
KORELE,KORE,NA
GALIAR,GALI,NA
CNAFNL,CNAF,NA
FHR,F,NA
SABLN,SAB,NA
STOKQ,STO,NA
CNLBRG,CNLB,NA
CMZB,CM,NA
HAMPTO,HAMP,NA
TWOBRO,TWOB,NA
INKPIJ,INKP,NA
COMAND,COMA,NA
IHSVQ,IHS,NA
LGHMK,LGH,NA
CPMIQ,CPM,NA
WHARF,WHA,NA
TKIMIJ,TKIM,NA
ATHMQ,ATH,NA
AMESQ,AME,NA
CONGRU,CONG,NA
KEMPER,KEMP,NA
PTPOLY,PTPO,NA
COSCN,COS,NA
PL,NA,NA
HOMEAT,HOME,NA
